id,name,group,mode,source,expectedGeometry,originType,dataStatus,validationLevel,license,url,sourcePage,downloadUrl,deriveAction
retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,patrimonio,embedded,Decreto Estadual nº 12.897 de 2009 e sedes municipais IBGE. Não constitui uma linha oficial de rota,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,comunidades,arcgis,"INCRA, camada sincronizada pelo PAMGIA IBAMA",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_quilombos_incra_a/FeatureServer/0,,,
rodovias_estaduais,Rodovias estaduais,infra,arcgis,"PIN MS, AGRAER e AGESUL",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/1,,,
rodovias_federais,Rodovias federais,infra,arcgis,PIN MS e DNIT,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/2,,,
estradas_vicinais,Estradas vicinais,infra,arcgis,PIN MS e AGRAER,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,,,
rede_hidrica,Rede hídrica,infra,arcgis,"PIN MS, AGRAER e ANA",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,,,
bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,embedded,Banco de Referências Culturais do IPHAN,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,arcgis,IPHAN sincronizado pelo PAMGIA IBAMA,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/MapServer/0,,,
sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,arcgis,IPHAN sincronizado pelo PAMGIA IBAMA,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,,,
escolas,Escolas do Censo Escolar,educacao,remotezip,INEP Censo Escolar 2025,Conforme fonte,download oficial,processamento sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,,,
campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",educacao,overpass,"Captura espacial OpenStreetMap. Validação institucional por e-MEC, UFMS, UEMS, UFGD e IFMS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://emec.mec.gov.br/,,,
geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,embedded,Levantamento do projeto,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,embedded,Serviço Geológico do Brasil. Registros com status Em análise na data de corte,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,geodiversidade,embedded,"Governo de Mato Grosso do Sul. Anexo I do Decreto Estadual nº 12.897/2009. 54 registros documentais, 40 pontos georreferenciados e 14 geometrias pendentes",Point and pending line/area,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,geodiversidade,arcgis,"Serviço Geológico do Brasil, unidades litoestratigráficas do mapeamento estadual 1:1.000.000 [2006]",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer,,
mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,geodiversidade,arcgis,"Serviço Geológico do Brasil. Recorte vetorial do Atlas Hidrogeológico e referência ao mapa estadual 2024, escala 1:1.000.000",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geoportal.sgb.gov.br/server/rest/services/hidrologia/Mapa_Hidrogeologico_Atlas_Brasil/MapServer/1,https://rigeo.sgb.gov.br/handle/doc/25365,https://rigeo.sgb.gov.br/bitstreams/8b3ea851-588c-422d-8dd6-2d1e508be11d/download,
sistema_aquifero_guarani_ana,Sistema Aquífero Guarani,geodiversidade,external,ANA. Sistemas Aquíferos do Brasil. Geometria local ainda não incorporada nesta versão,Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,,
mapa_geomorfologico_ibge,Mapa geomorfológico do estado,geodiversidade,external,"IBGE BDiA. Geomorfologia, unidades do relevo e dados vetoriais oficiais",Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://bdiaweb.ibge.gov.br/,https://www.ibge.gov.br/geociencias/informacoes-ambientais/geomorfologia/10870-geomorfologia.html,https://geoftp.ibge.gov.br/informacoes_ambientais/geomorfologia/,
mapa_altimetria_ms,Mapa de altimetria e hipsometria,geodiversidade,arcgisMap,SEMADESC e PIN MS. Altimetria de Mato Grosso do Sul,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/5,https://www.dados.ms.gov.br/dataset/altimetria-ms,,
mapa_declividade_topodata,Mapa de declividade e formas do terreno,geodiversidade,external,INPE TOPODATA. Declividade e variáveis geomorfométricas derivadas do SRTM,Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://data.inpe.br/dados/topodata/,https://www.dsr.inpe.br/topodata/acesso.php,,
mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,geodiversidade,arcgisMap,Serviço Geológico do Brasil. Ocorrências minerais do GeoSGB,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer,,
lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,embedded,Proposta histórica SGB CPRM e levantamento do projeto,Conforme fonte,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,embedded,"Decreto Estadual nº 12.897/2009, GEOSSIT, SIGEP e fontes técnicas declaradas",Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,embedded,Inventário documental com data de corte em 6 de agosto de 2026,Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,embedded,"Projeto de pesquisa científica. Fontes específicas por registro. A seleção e a geometria comparativa são autorais, revisáveis e não aprovadas pelo PRICI",LineString,local,incorporada no pacote,pesquisa exploratória e revisável,"CC BY 4.0 para a composição, atributos e geometria autorais; bases documentais mantêm seus termos originais",,,,
pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,embedded,"Integração local de patrimônio, geodiversidade, festividades, fronteira e memória histórica",Point,local,incorporada no pacote,documental,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,,,,
patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — base oficial,cultura,officialxlsx,"IPHAN. Planilha oficial de bens tombados e em processo de tombamento, edição de maio de 2026. Geometria exata preservada quando presente; na ausência, usa sede municipal representativa.",Point exato ou sede municipal representativa,download oficial,capturável sob demanda e importável manualmente,oficial na fonte; posicionamento municipal derivado quando necessário,Conteúdo institucional sob CC BY-ND 3.0 conforme portal gov.br; compilação espacial e metadados autorais sob CC BY 4.0.,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,
patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,cultura,overpass,"Fundação de Cultura de Mato Grosso do Sul, guias e inventários patrimoniais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.fundacaodecultura.ms.gov.br/informativos/guias-e-manuais/,,,
museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,cultura,tainacan,"IBRAM. Cadastro Nacional de Museus na Plataforma MuseusBr, coleção pública Tainacan. O atlas retém somente campos institucionais necessários e não reproduz contatos pessoais.",Point oficial ou sede municipal representativa,API oficial pública,capturável sob demanda e importável manualmente,cadastro oficial ou colaborativo conforme status declarado na fonte,Dados abertos MuseusBr; preservar atribuição ao IBRAM e o status de verificação de cada registro.,https://cadastro.museus.gov.br/wp-json/tainacan/v2/collection/208/items/,https://cadastro.museus.gov.br/,https://cadastro.museus.gov.br/instrumentos-de-documentacao/tainacan/,
bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",cultura,overpass,Captura espacial OpenStreetMap. Validação pelo SNBP e Sistema Estadual de Bibliotecas de MS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/pnld-bibliotecas/pnld-mato-grosso-do-sul,,,
espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",cultura,overpass,Mapa da Cultura e Mapa Cultural de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://dados.cultura.gov.br/dataset/mapa-da-cultura,,,
unidades_conservacao,Unidades de conservação — CNUC,ambiente,wfs,"CNUC/MMA. Captura oficial por WFS do ICMBio/INDE, com recorte espacial de Mato Grosso do Sul e espelho PAMGIA como contingência.",Polygon ou MultiPolygon,serviço oficial dinâmico,capturável sob demanda,oficial na fonte; recorte técnico do atlas,"Creative Commons Atribuição no recurso CNUC. Preservar atribuição, metadados e termos da fonte.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,
parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,ambiente,arcgis,"CNUC, MMA, ICMBio e PAMGIA IBAMA. Recorte filtrado da unidade federal",Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_unidades_conserva%C3%A7%C3%A3o_mma_a/FeatureServer/0,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/cerrado/lista-de-ucs/parna-da-serra-da-bodoquena,,
mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",ambiente,arcgisMap,SEMADESC e PIN MS. Sub-bacias do Paraguai e Paraná e UEPGRH,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/79,,
mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,ambiente,arcgisMap,SEMADESC e PIN MS. Disponibilidade hídrica superficial e água disponível no solo,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,,,
mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,ambiente,external,ANA. Rede Nacional de Monitoramento da Qualidade da Água,Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://qualidadedaagua.ana.gov.br/,https://www.gov.br/ana/pt-br/assuntos/monitoramento-e-eventos-criticos/qualidade-da-agua,,
mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",ambiente,arcgisMap,IBAMA PAMGIA e INPE Programa Queimadas. Focos atualizados e acesso a risco e áreas queimadas,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/DDA/focos_calor_dda/MapServer,https://data.inpe.br/queimadas/painel-do-fogo/,https://data.inpe.br/queimadas/dados-abertos/,
mapa_climatico_ms,"Mapa climático, precipitação e temperatura",ambiente,external,"CEMTEC MS e INMET. Estações, séries meteorológicas e produtos climáticos",Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://www.cemtec.ms.gov.br/bancodedados/,https://portal.inmet.gov.br/,,
cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,ambiente,wfs,"CANIE/CECAV/ICMBio. Captura oficial por WFS do ICMBio/INDE, com recorte de Mato Grosso do Sul e espelho Infra S.A. como contingência.",Point,serviço oficial dinâmico,capturável sob demanda,nível de validação preservado quando disponível na fonte,"Reutilização permitida com citação da fonte CANIE, conforme instruções do CECAV. Preservar limitações e metadados.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie/,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/cav_canie_geral_19122022.zip/view,
barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,ambiente,external,"ANA, Sistema Nacional de Informações sobre Segurança de Barragens",Point representativo,portal externo,consulta externa,oficial na fonte,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.snisb.gov.br/consultar-barragem/,,,
centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",ambiente,overpass,"ICMBio, IMASUL e planos de manejo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.gov.br/icmbio/pt-br/dados-icmbio/dados_geoespaciais,,,
pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,ambiente,arcgisMap,IBAMA. Serviço histórico de focos no Pantanal e referência ao Pantanal em Alerta,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://pamgia.ibama.gov.br/server/rest/services/Focos_Pantanal_Historico_MIL1/MapServer,https://www.gov.br/ibama/pt-br/assuntos/noticias/2024/ibama-lanca-plataforma-pantanal-em-alerta,,
cadastur_hospedagem,Cadastur oficial — meios de hospedagem por município,turismo,ckan,"Ministério do Turismo. Cadastur, conjunto de meios de hospedagem. Os registros são agregados por município para evitar exposição desnecessária de dados cadastrais individuais.",Sede municipal representativa,dados abertos oficiais CKAN,capturável sob demanda e importável manualmente,oficial na fonte; síntese municipal derivada pelo atlas,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem,,
cadastur_agencias_guias,"Cadastur oficial — agências, guias e transportadoras por município",turismo,ckan,"Ministério do Turismo. Cadastur, agências, guias e transportadoras. Dados agregados por município e categoria; nomes, CPF, telefone, e-mail e endereços individuais não são publicados pelo atlas.",Sede municipal representativa,dados abertos oficiais CKAN,capturável sob demanda e importável manualmente,oficial na fonte; síntese municipal derivada pelo atlas,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/?tags=Cadastur,,
centros_atendimento_turista,Referências cartográficas preliminares — Centros de atendimento ao turista,turismo,overpass,Captura espacial OpenStreetMap. Validação pela Fundtur MS e órgãos municipais Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.turismo.ms.gov.br/informacoes-turisticas/,,,
turismo_rural_comunitario,"Referências cartográficas preliminares — Turismo rural, comunitário e propriedades de visitação",turismo,overpass,"Fundtur MS, Cadastur e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.turismo.ms.gov.br/,,,
regioes_municipios_turisticos,Regiões e municípios do Mapa do Turismo Brasileiro,turismo,external,"Ministério do Turismo, Programa de Regionalização do Turismo",Conforme fonte,portal externo,consulta externa,documental,ODbL conforme catálogo de dados abertos do Ministério do Turismo,https://www.gov.br/turismo/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/programa-de-regionalizacao-do-turismo-2/mapa-do-turismo-brasileiro/mapa-do-turismo-brasileiro,https://dados.turismo.gov.br/pt_BR/dataset/mapa-do-turismo-brasileiro,,
ferrovias_operacao,Ferrovias concedidas em operação,mobilidade,arcgis,ANTT e Infra S.A.,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geo.infrasa.gov.br/server/rest/services/Ferrovias_Concedidas_em_opera%C3%A7%C3%A3o/FeatureServer/0,,,
terminais_ferroviarios,Terminais e pátios ferroviários,mobilidade,arcgis,Infra S.A. e ANTT,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geo.infrasa.gov.br/server/rest/services/Hosted/Terminal_Ferrovi%C3%A1rio/FeatureServer/0,,,
instalacoes_portuarias,"Portos, terminais e instalações portuárias",mobilidade,arcgis,ANTAQ e Infra S.A.,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geo.infrasa.gov.br/server/rest/services/Terminais_Portu%C3%A1rias/FeatureServer/0,,,
hidrovia_paraguai_ven_antaq,Hidrovia do Paraguai e vias economicamente navegadas — ANTAQ,mobilidade,officialzip,"ANTAQ. Vias Interiores Economicamente Navegadas, VEN 2022, com recorte espacial de Mato Grosso do Sul. Deve ser distinguida do projeto de concessão de 600 km da Hidrovia do Rio Paraguai.",LineString ou MultiLineString,download geoespacial oficial,capturável sob demanda e importável manualmente,oficial na fonte; recorte espacial técnico do atlas,Conteúdo ANTAQ sob CC BY-ND 3.0 conforme portal; preservar atribuição e integridade da fonte.,https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,https://www.gov.br/antaq/pt-br/central-de-conteudos/informacoes-geograficas,https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,
aeroportos_aerodromos,Aeroportos e aeródromos,mobilidade,arcgis,ANAC e Infra S.A.,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geo.infrasa.gov.br/server/rest/services/Aeroportos/FeatureServer/0,,,
terminais_rodoviarios,Referências cartográficas preliminares — Estações e terminais rodoviários municipais,mobilidade,overpass,Captura espacial OpenStreetMap. Validação operacional pela AGEMS e municípios Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://www.agems.ms.gov.br/informativo/transporte-rodoviario-intermunicipal/,,,
terminais_rodoviarios_fronteiras,"Referências cartográficas preliminares — Pontes, passagens e pontos de fronteira",mobilidade,overpass,"Infra S.A., DNIT e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",Point representativo,cartografia colaborativa preliminar,captura preliminar sujeita a validação,exploratória,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,https://geoportal.infrasa.gov.br/ontl/,,,
condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,external,DNIT Dados Abertos,Conforme fonte,portal externo,consulta externa,documental,Consultar licença ou termos da instituição responsável,https://www.gov.br/dnit/pt-br/acesso-a-informacao/dados-abertos/conjuntos-de-dados,,,
concessoes_rodoviarias,Concessões rodoviárias e operação,mobilidade,arcgis,ANTT e Infra S.A.,Conforme fonte,serviço oficial,capturável sob demanda,oficial na fonte,Consultar licença ou termos da instituição responsável,https://geo.infrasa.gov.br/server/rest/services/Hosted/Concess%C3%B5es_Rodovi%C3%A1rias/FeatureServer/35,,,
mapa_solos_ms,Mapa de solos de Mato Grosso do Sul 1:250.000,paisagem,arcgisMap,IMASUL e PIN MS. Solos de Mato Grosso do Sul na escala 1:250.000,Conforme fonte,mapa oficial dinâmico,visualização dinâmica,oficial na fonte,Consultar licença ou termos da instituição responsável,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42,,,
