camada_id,camada,grupo,fonte,url,pagina_fonte,status_dados,validacao
mapa_altimetria_ms,Mapa de altimetria e hipsometria,geodiversidade,SEMADESC e PIN MS. Altimetria de Mato Grosso do Sul,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/5,https://www.dados.ms.gov.br/dataset/altimetria-ms,visualização dinâmica,oficial na fonte
mapa_declividade_topodata,Mapa de declividade e formas do terreno,geodiversidade,INPE TOPODATA. Declividade e variáveis geomorfométricas derivadas do SRTM,https://data.inpe.br/dados/topodata/,https://www.dsr.inpe.br/topodata/acesso.php,consulta externa,documental
mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,geodiversidade,Serviço Geológico do Brasil. Ocorrências minerais do GeoSGB,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer,visualização dinâmica,oficial na fonte
lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,Proposta histórica SGB CPRM e levantamento do projeto,,,incorporada no pacote,documental
geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,"Decreto Estadual nº 12.897/2009, GEOSSIT, SIGEP e fontes técnicas declaradas",,,incorporada no pacote,documental
festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,Inventário documental com data de corte em 6 de agosto de 2026,,,incorporada no pacote,documental
rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,"Projeto de pesquisa científica. Fontes específicas por registro. A seleção e a geometria comparativa são autorais, revisáveis e não aprovadas pelo PRICI",,,incorporada no pacote,pesquisa exploratória e revisável
pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,"Integração local de patrimônio, geodiversidade, festividades, fronteira e memória histórica",,,incorporada no pacote,documental
patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — base oficial,cultura,"IPHAN. Planilha oficial de bens tombados e em processo de tombamento, edição de maio de 2026. Geometria exata preservada quando presente; na ausência, usa sede municipal representativa.",https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados,capturável sob demanda e importável manualmente,oficial na fonte; posicionamento municipal derivado quando necessário
patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,cultura,"Fundação de Cultura de Mato Grosso do Sul, guias e inventários patrimoniais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.fundacaodecultura.ms.gov.br/informativos/guias-e-manuais/,,captura preliminar sujeita a validação,exploratória
museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,cultura,"IBRAM. Cadastro Nacional de Museus na Plataforma MuseusBr, coleção pública Tainacan. O atlas retém somente campos institucionais necessários e não reproduz contatos pessoais.",https://cadastro.museus.gov.br/wp-json/tainacan/v2/collection/208/items/,https://cadastro.museus.gov.br/,capturável sob demanda e importável manualmente,cadastro oficial ou colaborativo conforme status declarado na fonte
bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",cultura,Captura espacial OpenStreetMap. Validação pelo SNBP e Sistema Estadual de Bibliotecas de MS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/pnld-bibliotecas/pnld-mato-grosso-do-sul,,captura preliminar sujeita a validação,exploratória
espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",cultura,Mapa da Cultura e Mapa Cultural de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://dados.cultura.gov.br/dataset/mapa-da-cultura,,captura preliminar sujeita a validação,exploratória
unidades_conservacao,Unidades de conservação — CNUC,ambiente,"CNUC/MMA. Captura oficial por WFS do ICMBio/INDE, com recorte espacial de Mato Grosso do Sul e espelho PAMGIA como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,capturável sob demanda,oficial na fonte; recorte técnico do atlas
parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,ambiente,"CNUC, MMA, ICMBio e PAMGIA IBAMA. Recorte filtrado da unidade federal",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_unidades_conserva%C3%A7%C3%A3o_mma_a/FeatureServer/0,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/cerrado/lista-de-ucs/parna-da-serra-da-bodoquena,capturável sob demanda,oficial na fonte
mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",ambiente,SEMADESC e PIN MS. Sub-bacias do Paraguai e Paraná e UEPGRH,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/79,visualização dinâmica,oficial na fonte
mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,ambiente,SEMADESC e PIN MS. Disponibilidade hídrica superficial e água disponível no solo,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,,visualização dinâmica,oficial na fonte
mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,ambiente,ANA. Rede Nacional de Monitoramento da Qualidade da Água,https://qualidadedaagua.ana.gov.br/,https://www.gov.br/ana/pt-br/assuntos/monitoramento-e-eventos-criticos/qualidade-da-agua,consulta externa,documental
mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",ambiente,IBAMA PAMGIA e INPE Programa Queimadas. Focos atualizados e acesso a risco e áreas queimadas,https://pamgia.ibama.gov.br/server/rest/services/DDA/focos_calor_dda/MapServer,https://data.inpe.br/queimadas/painel-do-fogo/,visualização dinâmica,oficial na fonte
mapa_climatico_ms,"Mapa climático, precipitação e temperatura",ambiente,"CEMTEC MS e INMET. Estações, séries meteorológicas e produtos climáticos",https://www.cemtec.ms.gov.br/bancodedados/,https://portal.inmet.gov.br/,consulta externa,documental
cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,ambiente,"CANIE/CECAV/ICMBio. Captura oficial por WFS do ICMBio/INDE, com recorte de Mato Grosso do Sul e espelho Infra S.A. como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie/,capturável sob demanda,nível de validação preservado quando disponível na fonte
barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,ambiente,"ANA, Sistema Nacional de Informações sobre Segurança de Barragens",https://www.snisb.gov.br/consultar-barragem/,,consulta externa,oficial na fonte
centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",ambiente,"ICMBio, IMASUL e planos de manejo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.gov.br/icmbio/pt-br/dados-icmbio/dados_geoespaciais,,captura preliminar sujeita a validação,exploratória
pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,ambiente,IBAMA. Serviço histórico de focos no Pantanal e referência ao Pantanal em Alerta,https://pamgia.ibama.gov.br/server/rest/services/Focos_Pantanal_Historico_MIL1/MapServer,https://www.gov.br/ibama/pt-br/assuntos/noticias/2024/ibama-lanca-plataforma-pantanal-em-alerta,visualização dinâmica,oficial na fonte
cadastur_hospedagem,Cadastur oficial — meios de hospedagem por município,turismo,"Ministério do Turismo. Cadastur, conjunto de meios de hospedagem. Os registros são agregados por município para evitar exposição desnecessária de dados cadastrais individuais.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem,capturável sob demanda e importável manualmente,oficial na fonte; síntese municipal derivada pelo atlas
cadastur_agencias_guias,"Cadastur oficial — agências, guias e transportadoras por município",turismo,"Ministério do Turismo. Cadastur, agências, guias e transportadoras. Dados agregados por município e categoria; nomes, CPF, telefone, e-mail e endereços individuais não são publicados pelo atlas.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/?tags=Cadastur,capturável sob demanda e importável manualmente,oficial na fonte; síntese municipal derivada pelo atlas
centros_atendimento_turista,Referências cartográficas preliminares — Centros de atendimento ao turista,turismo,Captura espacial OpenStreetMap. Validação pela Fundtur MS e órgãos municipais Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.turismo.ms.gov.br/informacoes-turisticas/,,captura preliminar sujeita a validação,exploratória
turismo_rural_comunitario,"Referências cartográficas preliminares — Turismo rural, comunitário e propriedades de visitação",turismo,"Fundtur MS, Cadastur e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.turismo.ms.gov.br/,,captura preliminar sujeita a validação,exploratória
regioes_municipios_turisticos,Regiões e municípios do Mapa do Turismo Brasileiro,turismo,"Ministério do Turismo, Programa de Regionalização do Turismo",https://www.gov.br/turismo/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/programa-de-regionalizacao-do-turismo-2/mapa-do-turismo-brasileiro/mapa-do-turismo-brasileiro,https://dados.turismo.gov.br/pt_BR/dataset/mapa-do-turismo-brasileiro,consulta externa,documental
ferrovias_operacao,Ferrovias concedidas em operação,mobilidade,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Ferrovias_Concedidas_em_opera%C3%A7%C3%A3o/FeatureServer/0,,capturável sob demanda,oficial na fonte
terminais_ferroviarios,Terminais e pátios ferroviários,mobilidade,Infra S.A. e ANTT,https://geo.infrasa.gov.br/server/rest/services/Hosted/Terminal_Ferrovi%C3%A1rio/FeatureServer/0,,capturável sob demanda,oficial na fonte
instalacoes_portuarias,"Portos, terminais e instalações portuárias",mobilidade,ANTAQ e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Terminais_Portu%C3%A1rias/FeatureServer/0,,capturável sob demanda,oficial na fonte
hidrovia_paraguai_ven_antaq,Hidrovia do Paraguai e vias economicamente navegadas — ANTAQ,mobilidade,"ANTAQ. Vias Interiores Economicamente Navegadas, VEN 2022, com recorte espacial de Mato Grosso do Sul. Deve ser distinguida do projeto de concessão de 600 km da Hidrovia do Rio Paraguai.",https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,https://www.gov.br/antaq/pt-br/central-de-conteudos/informacoes-geograficas,capturável sob demanda e importável manualmente,oficial na fonte; recorte espacial técnico do atlas
aeroportos_aerodromos,Aeroportos e aeródromos,mobilidade,ANAC e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Aeroportos/FeatureServer/0,,capturável sob demanda,oficial na fonte
terminais_rodoviarios,Referências cartográficas preliminares — Estações e terminais rodoviários municipais,mobilidade,Captura espacial OpenStreetMap. Validação operacional pela AGEMS e municípios Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.agems.ms.gov.br/informativo/transporte-rodoviario-intermunicipal/,,captura preliminar sujeita a validação,exploratória
terminais_rodoviarios_fronteiras,"Referências cartográficas preliminares — Pontes, passagens e pontos de fronteira",mobilidade,"Infra S.A., DNIT e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://geoportal.infrasa.gov.br/ontl/,,captura preliminar sujeita a validação,exploratória
condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,DNIT Dados Abertos,https://www.gov.br/dnit/pt-br/acesso-a-informacao/dados-abertos/conjuntos-de-dados,,consulta externa,documental
concessoes_rodoviarias,Concessões rodoviárias e operação,mobilidade,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Hosted/Concess%C3%B5es_Rodovi%C3%A1rias/FeatureServer/35,,capturável sob demanda,oficial na fonte
mapa_solos_ms,Mapa de solos de Mato Grosso do Sul 1:250.000,paisagem,IMASUL e PIN MS. Solos de Mato Grosso do Sul na escala 1:250.000,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42,,visualização dinâmica,oficial na fonte
mapa_fragilidade_ambiental_zae,Mapa de fragilidade ambiental,paisagem,SEMADESC e Embrapa Solos. Produto do Zoneamento Agroecológico de Mato Grosso do Sul,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/mato-grosso-do-sul-ganha-o-maior-raio-x-de-solos-do-brasil-com-estudo-da-embrapa/,consulta externa,documental
mapa_vegetacao_original_radam,Mapa de vegetação original RADAM,paisagem,PIN MS e IBGE. Mapeamento estadual de vegetação RADAM,https://www.pinms.ms.gov.br/arcgis/rest/services/SGI/Vegetacao_RADAM_MS/MapServer,https://bdiaweb.ibge.gov.br/,visualização dinâmica,oficial na fonte
uso_cobertura_solo,MapBiomas 10.1 — cobertura e uso da terra por município,paisagem,"MapBiomas Brasil. Estatísticas municipais da Coleção 10.1, 1985–2024, atualizadas em 19 de fevereiro de 2026. O atlas resume classes selecionadas por município.",https://drive.usercontent.google.com/download?id=1p0dLrhvKymPhrSithsRBMRgHlFHq0FUf&export=download,https://brasil.mapbiomas.org/estatisticas/,capturável sob demanda e importável manualmente,produto MapBiomas; síntese municipal derivada e reproduzível
mapa_mudancas_uso_solo,MapBiomas 10.1 — desmatamento e vegetação secundária,paisagem,"MapBiomas Brasil. Estatísticas de desmatamento da Coleção 10.1, 1987–2024, atualização de 8 de maio de 2026. O nível territorial disponível na planilha é preservado nos atributos.",https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/05/MAPBIOMAS_BRAZIL_COL.10.1_DEFORESTATION.xlsx,https://brasil.mapbiomas.org/estatisticas/,capturável sob demanda e importável manualmente,produto MapBiomas; representação pontual derivada para consulta
mapa_macrozoneamento_zae,Macrozoneamento de solos e apoio ao ZAE,paisagem,SEMADESC e PIN MS. Macrozoneamento de solos e água disponível como apoio territorial ao ZAE,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,visualização dinâmica,oficial na fonte
mapa_zoneamento_agroecologico_ms,Zoneamento Agroecológico de Mato Grosso do Sul,paisagem,"SEMADESC e Embrapa Solos. Zonas agroecológicas, aptidões e restrições territoriais",https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/zoneamento-agroecologico-sul-mato-grossense-sera-apresentado-em-evento-de-capacitacao-tecnica-da-semadesc/,consulta externa,documental
areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,incorporada no pacote,exploratória
artesanato_producao_tradicional,Referências cartográficas preliminares — Artesanato e produção tradicional,paisagem,"Mapa da Cultura, BCR IPHAN e levantamentos comunitários Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,captura preliminar sujeita a validação,exploratória
gastronomia_mercados_feiras,"Referências cartográficas preliminares — Feiras, mercados, casas de artesanato e gastronomia tradicional",paisagem,"Captura espacial OpenStreetMap. Validação por inventários municipais, Fundtur MS e Mapa da Cultura Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://mapas.cultura.gov.br/,,captura preliminar sujeita a validação,exploratória
unidades_saude,"Referências cartográficas preliminares — Hospitais, unidades de saúde e urgência",apoio,CNES e DATASUS Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://datasus.saude.gov.br/cnes-estabelecimentos/,,captura preliminar sujeita a validação,exploratória
bombeiros_seguranca,"Referências cartográficas preliminares — Bombeiros, polícia e pontos de segurança",apoio,"CBMMS, SEJUSP e Polícia Civil de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.bombeiros.ms.gov.br/,,captura preliminar sujeita a validação,exploratória
combustivel_oficinas_descanso,"Referências cartográficas preliminares — Combustível, oficinas e áreas de descanso",apoio,Levantamentos operacionais e bases municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,,,captura preliminar sujeita a validação,exploratória
acessibilidade_servicos,"Referências cartográficas preliminares — Acessibilidade, banheiros, água e serviços ao visitante",apoio,"Cadastur, equipamentos públicos e verificação de campo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",,,captura preliminar sujeita a validação,exploratória
cobertura_telefonia_movel,"Cobertura de telefonia móvel 2G, 3G, 4G e 5G",apoio,"Anatel Mosaico SMP. Importação dos SHP oficiais por tecnologia, operadora e intensidade prevista",https://dados.gov.br/dados/conjuntos-dados/cobertura_movel,https://sistemas.anatel.gov.br/se/public/cmap.php,consulta externa,documental
indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,Resultado estável v1.7.0 com fórmula e sensibilidade documentadas. Exclui rotas e produtos derivados para evitar circularidade,,,incorporada no pacote,exploratória
trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,Segmentação cartográfica revisável dos 31 desenhos metodológicos do projeto de pesquisa,,,incorporada no pacote,exploratória
pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,incorporada no pacote,exploratória
mapa_zee_ms,Zoneamento Ecológico Econômico de Mato Grosso do Sul,analise,IMASUL e PIN MS. ZEE MS disponível no serviço cartográfico estadual,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/38,https://www.semadesc.ms.gov.br/wp-content/uploads/2018/04/Consolida%C3%A7%C3%A3o-ZEE-2%C2%AA-Aproxima%C3%A7%C3%A3o.pdf,visualização dinâmica,oficial na fonte
vulnerabilidade_territorial_censo_2022,Vulnerabilidade territorial e indicadores do Censo 2022,analise,"IBGE, Censo Demográfico 2022 e agregados territoriais",https://censo2022.ibge.gov.br/panorama/,,consulta externa,documental
corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,Produto exploratório e revisável derivado das propostas metodológicas do projeto de pesquisa,,,incorporada no pacote,exploratória
riscos_sazonalidade,"Riscos, sazonalidade e restrições operacionais",analise,"Defesa Civil de Mato Grosso do Sul, CEMTEC, planos de manejo e validação de campo",https://www.defesacivil.ms.gov.br/unidade-administrativa/departamento-de-gestao-de-riscos-e-desastres/,https://www.defesacivil.ms.gov.br/programas-e-projetos/monitoracao/,consulta externa,documental
acessibilidade_rodoviaria_estimada_rotas_base_externa,Acessibilidade rodoviária estimada das rotas com base externa,analise,Cálculo científico sob demanda com OSRM e rede OpenStreetMap para 7 rotas com base institucional ou documental direta e 2 propostas híbridas.,,https://github.com/Project-OSRM/osrm-backend/blob/master/docs/http.md,calculável sob demanda,estimativa técnica não validada em campo
interacoes_rotas_unidades_conservacao,Interações exploratórias entre rotas e unidades de conservação,analise,Cruzamento geométrico em sessão entre propostas metodológicas de rotas e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,calculável após captura do CNUC,exploratória; não substitui análise jurídica ou de manejo
cavidades_proximas_rotas_estudo,Cavidades próximas às rotas em estudo,analise,Cálculo em sessão da menor distância entre cavidades CANIE e os traçados esquemáticos das rotas. Limiar exploratório de 50 km.,,PROTOCOLO_CNUC_CANIE.md,calculável após captura do CANIE,exploratória; proximidade não implica visitação ou integração cultural
cavidades_em_unidades_conservacao,Cavidades registradas em unidades de conservação,analise,Cruzamento pontual em sessão entre cavidades CANIE e polígonos CNUC carregados.,,PROTOCOLO_CNUC_CANIE.md,calculável após captura de CNUC e CANIE,exploratória; depende da precisão e atualização das duas fontes
