index,grupo,tipo_fonte,referencia_apa7,url,acesso,camadas_relacionadas,uso_no_projeto
10,"Território, municípios e população",Serviço ou API geoespacial,"IBGE. (s.d.). *API de Localidades, municípios brasileiros* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://servicodados.ibge.gov.br/api/docs/localidades",https://servicodados.ibge.gov.br/api/docs/localidades,5 ago. 2026,,"Fonte do grupo temático Território, municípios e população."
11,"Território, municípios e população",Página institucional ou portal,"IBGE. (2022). *Localidades do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html",https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html,5 ago. 2026,,"Fonte do grupo temático Território, municípios e população."
12,"Território, municípios e população",Conjunto de dados,IBGE. (2022). *Pacote vetorial Localidades do Brasil por unidades da Federação* [Conjunto de dados]. https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,5 ago. 2026,localidades_ibge_completas,"Fonte do grupo temático Território, municípios e população."
13,"Território, municípios e população",Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Estado de Mato Grosso do Sul político, limites municipais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0,5 ago. 2026,,"Fonte do grupo temático Território, municípios e população."
14,"Território, municípios e população",Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Sedes municipais e aglomerados rurais e urbanos* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0,5 ago. 2026,,"Fonte do grupo temático Território, municípios e população."
15,"Território, municípios e população",Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Aglomerados rurais e urbanos* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,5 ago. 2026,localidades_aglomerados,"Fonte do grupo temático Território, municípios e população."
16,Localidades indígenas e quilombolas,Página institucional ou portal,"IBGE. (2025). *Localidades Indígenas do Censo Demográfico 2022* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022",https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022/,5 ago. 2026,,Arquivo utilizado atualizado em 19 de setembro de 2025
17,Localidades indígenas e quilombolas,Página institucional ou portal,"IBGE. (2024). *Localidades Quilombolas do Censo Demográfico 2022* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022",https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022/,5 ago. 2026,,Arquivo utilizado datado de 10 de julho de 2024
18,Localidades indígenas e quilombolas,Página institucional ou portal,"IBGE. (2022). *Censo Demográfico 2022, quilombolas e indígenas, níveis geográficos e recortes territoriais* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes",https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes,5 ago. 2026,,Fonte do grupo temático Localidades indígenas e quilombolas.
19,Localidades indígenas e quilombolas,Documento ou publicação institucional,Fundação de Turismo de Mato Grosso do Sul. (2026). *Guia de Afroturismo Isto é Mato Grosso do Sul* [Documento ou publicação institucional]. https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf,https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf,5 ago. 2026,,Fonte do grupo temático Localidades indígenas e quilombolas.
20,Educação,Página institucional ou portal,"INEP. (2025). *Catálogo de Escolas* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas,5 ago. 2026,,Fonte do grupo temático Educação.
21,Educação,Conjunto de dados,INEP. (2025). *Microdados do Censo Escolar da Educação Básica 2025* [Conjunto de dados]. https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar,5 ago. 2026,,Fonte do grupo temático Educação.
22,Educação,Conjunto de dados,INEP. (2025). *Arquivo dos microdados do Censo Escolar 2025* [Conjunto de dados]. https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,5 ago. 2026,escolas,Fonte do grupo temático Educação.
23,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e SEMADESC. (s.d.). *Rodovias estaduais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
24,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e SEMADESC. (s.d.). *Rodovias federais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
25,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e SEMADESC. (s.d.). *Estradas vicinais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
26,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Sistema viário estadual, camadas de rodovias estaduais e federais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
27,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Estradas vicinais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,5 ago. 2026,estradas_vicinais,Fonte do grupo temático Infraestrutura viária e hidrografia.
28,Infraestrutura viária e hidrografia,Página institucional ou portal,"AGESUL. (2026). *Sistema Rodoviário Estadual de Mato Grosso do Sul* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.agesul.ms.gov.br/sre-ms",https://www.agesul.ms.gov.br/sre-ms/,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
29,Infraestrutura viária e hidrografia,Página institucional ou portal,"DNIT. (s.d.). *VGeo, visualizador de informações geográficas do DNIT* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://servicos.dnit.gov.br/vgeo",https://servicos.dnit.gov.br/vgeo/,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
30,Infraestrutura viária e hidrografia,Serviço ou API geoespacial,"PIN MS e AGRAER. (s.d.). *Hidrografia de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,5 ago. 2026,rede_hidrica,Fonte do grupo temático Infraestrutura viária e hidrografia.
31,Infraestrutura viária e hidrografia,Página institucional ou portal,"Agência Nacional de Águas e Saneamento Básico. (s.d.). *Metadados do Sistema Nacional de Informações sobre Recursos Hídricos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://metadados.snirh.gov.br",https://metadados.snirh.gov.br/,5 ago. 2026,,Fonte do grupo temático Infraestrutura viária e hidrografia.
32,Patrimônio arqueológico,Página institucional ou portal,"IPHAN. (2026). *Cadastro de Sítios Arqueológicos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos",https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos,5 ago. 2026,,Fonte do grupo temático Patrimônio arqueológico.
33,Patrimônio arqueológico,Serviço ou API geoespacial,"IPHAN e IBAMA, PAMGIA. (s.d.). *Sítios arqueológicos, camada de pontos sincronizada* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0,5 ago. 2026,,Fonte do grupo temático Patrimônio arqueológico.
34,Patrimônio arqueológico,Serviço ou API geoespacial,"IPHAN e IBAMA, PAMGIA. (s.d.). *Sítios arqueológicos, camada de delimitações sincronizada* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,5 ago. 2026,sitios_arqueologicos_poligonos,Fonte do grupo temático Patrimônio arqueológico.
35,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Bem Brasileiro, Banco de Referências Culturais* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br",https://bcr.iphan.gov.br/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
36,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Bens culturais imateriais registrados* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais",https://bcr.iphan.gov.br/bens-culturais/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
37,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Banho de São João de Corumbá e Ladário* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms",https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
38,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Modo de Fazer Viola de Cocho associado ao Cururu e ao Siriri* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho",https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
39,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Choro* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/choro",https://bcr.iphan.gov.br/bens-culturais/choro/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
40,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Roda de Capoeira* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira",https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
41,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Ofício dos Mestres e Mestras da Capoeira* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira",https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
42,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Ofício, saberes e práticas das parteiras tradicionais do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil",https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
43,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Ofício de Raizeiras e Raizeiros do Cerrado* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado",https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
44,Patrimônio cultural imaterial,Página institucional ou portal,"IPHAN. (s.d.). *Circo de Tradição Familiar do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil",https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil/,5 ago. 2026,,Fonte do grupo temático Patrimônio cultural imaterial.
45,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *GEOSSIT, inventário de geossítios e sítios da geodiversidade* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit",https://www.sgb.gov.br/geossit/,5 ago. 2026,,Fonte do grupo temático Geodiversidade e patrimônio geológico.
46,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Gruta do Lago Azul, registro 964* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/964",https://www.sgb.gov.br/geossit/geossitios/ver/964,5 ago. 2026,,O sistema indicava status Em análise na data de corte
47,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Porto Ladário, registro 963* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/963",https://www.sgb.gov.br/geossit/geossitios/ver/963,5 ago. 2026,,O sistema indicava status Em análise na data de corte
48,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Rochas Fosfáticas da Fazenda Ressaca e Primavera, registro 959* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/959",https://www.sgb.gov.br/geossit/geossitios/ver/959,5 ago. 2026,,O sistema indicava status Em análise na data de corte
49,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Mineração Corcal, registro 958* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/958",https://www.sgb.gov.br/geossit/geossitios/ver/958,5 ago. 2026,,O sistema indicava status Em análise na data de corte
50,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Formação Urucum, registro 955* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/955",https://www.sgb.gov.br/geossit/geossitios/ver/955,5 ago. 2026,,O sistema indicava status Em análise na data de corte
51,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Porto Limoeiro, registro 953* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/953",https://www.sgb.gov.br/geossit/geossitios/ver/953,5 ago. 2026,,O sistema indicava status Em análise na data de corte
52,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Crosta Laterítica com Inscrições Rupestres, Fazenda Figueirinha, registro 951* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/951",https://www.sgb.gov.br/geossit/geossitios/ver/951,5 ago. 2026,,O sistema indicava status Em análise na data de corte
53,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Serviço Geológico do Brasil. (s.d.). *Parque Municipal Marina Gatass, registro 1496* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/1496",https://www.sgb.gov.br/geossit/geossitios/ver/1496,5 ago. 2026,,O sistema indicava status Em análise na data de corte
54,Geodiversidade e patrimônio geológico,Página institucional ou portal,"Rolim, F. G. e Theodorovicz, A. (2012). *Geoparque Bodoquena-Pantanal, MS, proposta* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://rigeo.sgb.gov.br/handle/doc/17164",https://rigeo.sgb.gov.br/handle/doc/17164,5 ago. 2026,,"Capítulo de Geoparques do Brasil, propostas, CPRM"
55,Geodiversidade e patrimônio geológico,Artigo científico,"Tavares, G. N. D., Boggiani, P. C., Leme, J. M., & Trindade, R. I. F. (2020). The inventory of the geological and paleontological sites in the area of the aspirant Geopark Bodoquena–Pantanal in Brazil. *Geoheritage, 12*, Article 22. https://doi.org/10.1007/s12371-020-00437-8",https://doi.org/10.1007/s12371-020-00437-8,5 ago. 2026,pre_avaliacao_geocientifica_geoparques_250km2,"Geoheritage, volume 12, número 1"
56,"Festividades, turismo e inventário cultural",Página institucional ou portal,"Fundação de Cultura de Mato Grosso do Sul. (2026). *Carnaval 2026, blocos de rua tomam Campo Grande em três finais de semana* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.fundacaodecultura.ms.gov.br/carnaval-2026-blocos-de-rua-tomam-campo-grande-em-tres-finais-de-semana-de-folia-cultura-e-diversidade",https://www.fundacaodecultura.ms.gov.br/carnaval-2026-blocos-de-rua-tomam-campo-grande-em-tres-finais-de-semana-de-folia-cultura-e-diversidade/,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
57,"Festividades, turismo e inventário cultural",Página institucional ou portal,"Fundação de Cultura de Mato Grosso do Sul. (2026). *Feijoada de Jorge celebra fé, samba e ancestralidade na Vila Carvalho* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.fundacaodecultura.ms.gov.br/com-apoio-do-grupo-tez-feijoada-de-jorge-celebra-fe-samba-e-ancestralidade-na-vila-carvalho",https://www.fundacaodecultura.ms.gov.br/com-apoio-do-grupo-tez-feijoada-de-jorge-celebra-fe-samba-e-ancestralidade-na-vila-carvalho/,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
58,"Festividades, turismo e inventário cultural",Página institucional ou portal,"Prefeitura de Maracaju. (2026). *30ª Festa da Linguiça de Maracaju* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://turismo.maracaju.ms.gov.br/agenda/30-festa-da-linguica-de-maracaju/1098",https://turismo.maracaju.ms.gov.br/agenda/30-festa-da-linguica-de-maracaju/1098,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
59,"Festividades, turismo e inventário cultural",Página institucional ou portal,"Fundação de Cultura de Mato Grosso do Sul. (2026). *Festival América do Sul 2026 transforma Corumbá em palco da integração latino-americana* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.fundacaodecultura.ms.gov.br/festival-america-do-sul-2026-transforma-corumba-em-palco-da-integracao-latino-americana",https://www.fundacaodecultura.ms.gov.br/festival-america-do-sul-2026-transforma-corumba-em-palco-da-integracao-latino-americana/,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
60,"Festividades, turismo e inventário cultural",Página institucional ou portal,"Fundação de Turismo de Mato Grosso do Sul. (2026). *III Festival de Inverno de Turismo Rural valoriza experiências autênticas* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.turismo.ms.gov.br/iii-festival-de-inverno-de-turismo-rural-valoriza-experiencias-autenticas-na-regiao-turistica-campo-grande-dos-ipes",https://www.turismo.ms.gov.br/iii-festival-de-inverno-de-turismo-rural-valoriza-experiencias-autenticas-na-regiao-turistica-campo-grande-dos-ipes/,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
61,"Festividades, turismo e inventário cultural",Documento ou publicação institucional,Fundação de Cultura de Mato Grosso do Sul. (2026). *Relação de bens materiais e imateriais do Estado de Mato Grosso do Sul* [Documento ou publicação institucional]. https://www.fundacaodecultura.ms.gov.br/wp-content/uploads/2026/05/RELACAO-BENS-MATERIAIS-E-IMATERIAIS-DO-ESTADO-DO-MATO-GROSSO-DO-SUL-atualizado.pdf,https://www.fundacaodecultura.ms.gov.br/wp-content/uploads/2026/05/RELACAO-BENS-MATERIAIS-E-IMATERIAIS-DO-ESTADO-DO-MATO-GROSSO-DO-SUL-atualizado.pdf,5 ago. 2026,,"Fonte do grupo temático Festividades, turismo e inventário cultural."
